stratum,ID,circ,inq,SelectionProb,SamplingWeight,FPC
1,3,0,47,0.127868853,7.820512821,305
1,5,0,150,0.127868853,7.820512821,305
1,10,0,0,0.127868853,7.820512821,305
1,21,1619,0,0.127868853,7.820512821,305
1,22,2140,15,0.127868853,7.820512821,305
1,40,3874,150,0.127868853,7.820512821,305
1,47,5121,0,0.127868853,7.820512821,305
1,74,8342,320,0.127868853,7.820512821,305
1,78,8487,300,0.127868853,7.820512821,305
1,85,9832,593,0.127868853,7.820512821,305
1,92,10732,2202,0.127868853,7.820512821,305
1,95,11604,35,0.127868853,7.820512821,305
1,99,12430,900,0.127868853,7.820512821,305
1,101,12475,0,0.127868853,7.820512821,305
1,105,13357,500,0.127868853,7.820512821,305
1,111,14413,620,0.127868853,7.820512821,305
1,119,16244,2763,0.127868853,7.820512821,305
1,125,17352,820,0.127868853,7.820512821,305
1,129,17679,597,0.127868853,7.820512821,305
1,135,18623,2685,0.127868853,7.820512821,305
1,157,21872,1238,0.127868853,7.820512821,305
1,168,23334,1413,0.127868853,7.820512821,305
1,171,23629,180,0.127868853,7.820512821,305
1,179,25929,3000,0.127868853,7.820512821,305
1,204,33674,840,0.127868853,7.820512821,305
1,219,37818,2500,0.127868853,7.820512821,305
1,221,38294,1298,0.127868853,7.820512821,305
1,227,40500,10500,0.127868853,7.820512821,305
1,229,42093,3234,0.127868853,7.820512821,305
1,234,45817,2307,0.127868853,7.820512821,305
1,257,61994,6800,0.127868853,7.820512821,305
1,259,62210,7100,0.127868853,7.820512821,305
1,263,64500,6429,0.127868853,7.820512821,305
1,267,67731,6570,0.127868853,7.820512821,305
1,275,80159,10000,0.127868853,7.820512821,305
1,279,84178,4674,0.127868853,7.820512821,305
1,290,102544,3034,0.127868853,7.820512821,305
1,298,108447,4415,0.127868853,7.820512821,305
1,303,114405,2986,0.127868853,7.820512821,305
2,315,146862,9599,0.11627907,8.6,43
2,321,168659,6147,0.11627907,8.6,43
2,334,232575,13227,0.11627907,8.6,43
2,336,241767,51315,0.11627907,8.6,43
2,348,416226,56070,0.11627907,8.6,43
3,349,442884,99539,0.133333333,7.5,15
3,360,816240,257054,0.133333333,7.5,15
4,365,1705078,682201,0.5,2,4
4,367,3136876,272711,0.5,2,4
5,368,4081187,2710130,1,1,2
5,369,6384212,3278281,1,1,2
